Car_Name,Year,Selling_Price,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner,Car_Age,Age_Group,Depreciation,Depreciation_Rate,km_Per_year,Transmission_Numeric,Is_First_Owner,Is_Diesel,Is_Automatic,Is_Dealer,Owner_Group,KM_Category
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0,11,Mid-Age,2.2399999999999998,40.07155635062611,2454.5454545454545,1,1,0,0,1,First,Low
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0,12,Mid-Age,4.789999999999999,50.20964360587001,3583.3333333333335,1,1,1,0,1,First,Low
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0,8,Mid-Age,2.5999999999999996,26.395939086294412,862.5,1,1,0,0,1,First,Low
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0,14,Mid-Age,1.3000000000000003,31.325301204819283,371.42857142857144,1,1,0,0,1,First,Low
swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0,11,Mid-Age,2.2700000000000005,33.04221251819506,3859.090909090909,1,1,1,0,1,First,Low
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,7,Mid-Age,0.5800000000000001,5.900305188199391,295.85714285714283,1,1,1,0,1,First,Low
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0,10,Mid-Age,1.3699999999999992,16.871921182266004,1879.6,1,1,0,0,1,First,Low
s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0,10,Mid-Age,2.1099999999999994,24.506387921022064,3342.9,1,1,1,0,1,First,Low
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0,9,Mid-Age,0.14000000000000057,1.5748031496063055,2252.5555555555557,1,1,1,0,1,First,Low
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0,10,Mid-Age,1.4699999999999998,16.479820627802688,4236.7,1,1,1,0,1,First,Low
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,8,Mid-Age,0.75,20.833333333333332,266.875,1,1,0,0,1,First,Low
ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0,10,Mid-Age,3.530000000000001,34.00770712909442,5100.0,1,1,1,0,1,First,Medium
ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0,10,Mid-Age,2.4399999999999995,24.547283702213278,1500.0,0,1,0,1,1,First,Low
ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0,10,Mid-Age,1.6100000000000003,20.881971465629057,2600.0,1,1,0,0,1,First,Low
dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0,16,Old,4.96,68.79334257975034,4839.1875,1,1,0,0,1,First,Medium
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,9,Mid-Age,3.039999999999999,28.17423540315106,4777.777777777777,1,1,1,0,1,First,Low
ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0,10,Mid-Age,3.539999999999999,32.80815569972196,4167.8,1,1,1,0,1,First,Low
wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,0,10,Mid-Age,1.8399999999999999,36.149312377210215,3550.0,1,1,0,0,1,First,Low
sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0,15,Mid-Age,5.33,66.79197994987469,2762.8,1,1,0,0,1,First,Low
alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,9,Mid-Age,1.1,27.848101265822784,2777.777777777778,1,1,0,0,1,First,Low
ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0,8,Mid-Age,0.8099999999999996,14.185639229422058,300.0,1,1,0,0,1,First,Low
sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0,14,Mid-Age,3.6099999999999994,45.06866416978776,3571.4285714285716,0,1,0,1,1,First,Medium
alto k10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0,11,Mid-Age,0.96,27.74566473988439,4116.363636363636,1,1,0,0,1,First,Low
wagon r,2013,2.9,4.41,56879,Petrol,Dealer,Manual,0,12,Mid-Age,1.5100000000000002,34.240362811791385,4739.916666666667,1,1,0,0,1,First,Medium
swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,0,14,Mid-Age,1.9900000000000002,39.879759519038075,1428.5714285714287,1,1,0,0,1,First,Low
swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0,12,Mid-Age,1.7199999999999998,29.301533219761495,4594.833333333333,1,1,0,0,1,First,Medium
swift,2017,6.0,6.49,16200,Petrol,Individual,Manual,0,8,Mid-Age,0.4900000000000002,7.550077041602468,2025.0,1,1,0,0,0,First,Low
alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,0,15,Mid-Age,2.0,50.632911392405056,2969.4666666666667,1,1,0,0,1,First,Low
ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,0,10,Mid-Age,2.9300000000000006,28.227360308285164,4500.0,1,1,1,0,1,First,Low
ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0,13,Mid-Age,2.8800000000000003,48.16053511705686,3956.846153846154,1,1,1,0,1,First,Medium
ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0,14,Mid-Age,2.5399999999999996,51.94274028629856,3871.4285714285716,1,1,0,0,1,First,Medium
swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0,11,Mid-Age,2.54,33.91188251001335,3545.4545454545455,1,1,1,0,1,First,Low
ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,0,11,Mid-Age,3.9499999999999993,39.69849246231155,4090.909090909091,1,1,1,0,1,First,Low
dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,0,11,Mid-Age,2.5600000000000005,31.761786600496283,4090.909090909091,1,1,1,0,1,First,Low
sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,0,14,Mid-Age,4.79,61.88630490956072,3571.285714285714,1,1,0,0,1,First,Low
dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0,10,Mid-Age,2.55,35.416666666666664,4876.7,1,1,0,0,1,First,Low
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0,22,Old,1.9299999999999997,84.64912280701753,5772.727272727273,1,1,0,0,0,First,High
alto k10,2016,3.0,3.76,10079,Petrol,Dealer,Manual,0,9,Mid-Age,0.7599999999999998,20.212765957446805,1119.888888888889,1,1,0,0,1,First,Low
sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0,22,Old,5.73,71.80451127819549,2818.181818181818,1,1,0,0,1,First,Medium
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0,9,Mid-Age,2.0200000000000005,25.66709021601017,2724.8888888888887,0,1,0,1,1,First,Low
alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0,11,Mid-Age,1.4300000000000002,35.92964824120604,4246.0,1,1,0,0,1,First,Low
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0,17,Old,5.2,72.72727272727273,3411.764705882353,1,1,0,0,1,First,Medium
dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0,11,Mid-Age,2.5600000000000005,31.761786600496283,4161.818181818182,1,1,1,0,1,First,Low
omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0,13,Mid-Age,1.44,53.53159851301115,3846.153846153846,1,1,0,0,1,First,Medium
ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0,11,Mid-Age,4.539999999999999,37.707641196013284,1363.6363636363637,0,1,0,1,1,First,Low
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0,12,Mid-Age,2.2399999999999998,45.807770961145195,5377.666666666667,1,1,0,0,1,First,Medium
wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,0,19,Old,3.1000000000000005,74.6987951807229,3421.0526315789475,1,1,0,0,1,First,Medium
ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0,10,Mid-Age,1.9100000000000001,24.77302204928664,2587.0,1,1,0,0,1,First,Low
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0,8,Mid-Age,1.5399999999999991,16.576964477933252,4625.0,0,1,0,1,1,First,Low
fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0,13,Mid-Age,15.709999999999999,51.32309702711532,8054.384615384615,0,1,1,1,1,First,High
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,10,Mid-Age,7.609999999999999,24.861156484808884,4000.0,0,1,1,1,1,First,Low
innova,2017,18.0,19.77,15000,Diesel,Dealer,Automatic,0,8,Mid-Age,1.7699999999999996,8.952959028831561,1875.0,0,1,1,1,1,First,Low
fortuner,2013,16.0,30.61,135000,Diesel,Individual,Automatic,0,12,Mid-Age,14.61,47.729500163345314,11250.0,0,1,1,1,0,First,High
innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0,20,Old,7.460000000000001,73.06562193927523,4500.0,1,1,0,0,0,First,Medium
corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0,16,Old,11.44,76.06382978723404,4375.0,0,1,0,1,1,First,Medium
etios cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,0,10,Mid-Age,2.7699999999999996,38.101788170563964,4053.4,1,1,0,0,1,First,Low
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0,15,Mid-Age,13.79,74.3797195253506,3333.3333333333335,1,1,0,0,1,First,Medium
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1,11,Mid-Age,2.7,39.70588235294118,3589.5454545454545,1,0,0,0,1,Second,Low
fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0,11,Mid-Age,15.970000000000002,44.410456062291445,3727.2727272727275,0,1,1,1,1,First,Low
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0,12,Mid-Age,11.66,62.65448683503493,3333.4166666666665,1,1,0,0,1,First,Low
etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0,10,Mid-Age,3.2,41.55844155844156,4058.8,1,1,0,0,1,First,Low
fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0,11,Mid-Age,17.21,47.858731924360406,7090.909090909091,0,1,1,1,1,First,Medium
fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0,10,Mid-Age,12.46,34.64961067853171,4700.0,0,1,1,1,1,First,Low
fortuner,2017,33.0,36.23,6000,Diesel,Dealer,Automatic,0,8,Mid-Age,3.229999999999997,8.915263593706864,750.0,0,1,1,1,1,First,Low
etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0,11,Mid-Age,2.2,31.654676258992808,4090.909090909091,1,1,1,0,1,First,Low
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0,8,Mid-Age,3.3999999999999986,14.686825053995674,1375.0,0,1,0,1,1,First,Low
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0,15,Mid-Age,11.2,54.76772616136919,3933.3333333333335,1,1,1,0,1,First,Medium
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0,14,Mid-Age,9.39,68.3406113537118,6285.714285714285,1,1,0,0,1,First,Medium
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0,9,Mid-Age,6.66,31.85078909612626,1333.3333333333333,1,1,0,0,1,First,Low
etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,0,11,Mid-Age,2.8099999999999996,41.5680473372781,6454.545454545455,1,1,1,0,1,First,Medium
corolla altis,2011,4.5,12.48,45000,Diesel,Dealer,Manual,0,14,Mid-Age,7.98,63.9423076923077,3214.285714285714,1,1,1,0,1,First,Low
corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,0,12,Mid-Age,11.16,59.967759269210106,4666.75,1,1,0,0,1,First,Medium
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0,14,Mid-Age,3.06,53.59019264448336,3071.4285714285716,1,1,0,0,1,First,Low
etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,0,11,Mid-Age,4.029999999999999,45.128779395296746,7545.454545454545,1,1,1,0,1,First,Medium
etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,0,10,Mid-Age,2.8499999999999996,41.91176470588235,3600.0,1,1,0,0,1,First,Low
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0,12,Mid-Age,9.18,62.53405994550408,6000.0,1,1,0,0,1,First,Medium
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0,21,Old,10.85,87.85425101214574,6435.9047619047615,0,1,0,1,1,First,High
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0,15,Mid-Age,17.58,77.00394218134034,5333.333333333333,0,1,0,1,1,First,Medium
fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0,13,Mid-Age,16.11,52.62985952303168,6846.153846153846,0,1,1,1,1,First,Medium
corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0,9,Mid-Age,0.16000000000000014,1.0745466756212232,2555.5555555555557,1,1,1,0,1,First,Low
etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,0,10,Mid-Age,3.0999999999999996,39.49044585987261,4000.0,1,1,1,0,1,First,Low
innova,2017,23.0,25.39,15000,Diesel,Dealer,Automatic,0,8,Mid-Age,2.3900000000000006,9.413154785348564,1875.0,0,1,1,1,1,First,Low
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0,10,Mid-Age,0.9600000000000009,7.132243684992575,3800.0,1,1,1,0,1,First,Low
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0,20,Old,9.97,74.07132243684993,9858.8,1,1,1,0,1,First,High
camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3,19,Old,21.23,89.46481247366204,7473.684210526316,0,0,0,1,0,Third or More,High
land cruiser,2010,35.0,92.6,78000,Diesel,Dealer,Manual,0,15,Mid-Age,57.599999999999994,62.20302375809935,5200.0,1,1,1,0,1,First,Medium
corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,0,13,Mid-Age,7.84,57.05967976710335,4307.692307692308,1,1,0,0,1,First,Medium
etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0,12,Mid-Age,2.5999999999999996,42.97520661157024,3916.6666666666665,1,1,0,0,1,First,Low
etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0,11,Mid-Age,2.01,29.733727810650883,3636.3636363636365,1,1,0,0,1,First,Low
corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,0,16,Old,14.809999999999999,79.58087049973133,3875.0,1,1,0,0,1,First,Medium
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0,11,Mid-Age,4.84,30.080795525170913,5294.727272727273,1,1,1,0,1,First,Medium
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0,20,Old,10.19,74.37956204379562,3750.0,1,1,0,0,1,First,Medium
corolla altis,2008,4.0,22.78,89000,Petrol,Dealer,Automatic,0,17,Old,18.78,82.44073748902547,5235.294117647059,0,1,0,1,1,First,Medium
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0,13,Mid-Age,12.76,68.56528747984954,5538.461538461538,1,1,0,0,1,First,Medium
innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0,9,Mid-Age,4.640000000000001,18.27491138243403,3222.222222222222,0,1,1,1,1,First,Low
corolla altis,2017,17.0,18.64,8700,Petrol,Dealer,Manual,0,8,Mid-Age,1.6400000000000006,8.798283261802577,1087.5,1,1,0,0,1,First,Low
corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,0,12,Mid-Age,11.559999999999999,62.117141321869966,3750.0,1,1,0,0,1,First,Low
fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0,15,Mid-Age,10.799999999999999,52.81173594132029,3334.9333333333334,1,1,1,0,1,First,Medium
Royal Enfield Thunder 500,2016,1.75,1.9,3000,Petrol,Individual,Manual,0,9,Mid-Age,0.1499999999999999,7.894736842105258,333.3333333333333,1,1,0,0,0,First,Low
UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0,8,Mid-Age,0.1200000000000001,6.593406593406599,175.0,1,1,0,0,0,First,Low
KTM RC200,2017,1.65,1.78,4000,Petrol,Individual,Manual,0,8,Mid-Age,0.13000000000000012,7.303370786516861,500.0,1,1,0,0,0,First,Low
Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0,8,Mid-Age,0.15000000000000013,9.375000000000009,150.0,1,1,0,0,0,First,Low
Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0,8,Mid-Age,0.11999999999999988,8.163265306122442,512.5,1,1,0,0,0,First,Low
KTM RC390,2015,1.35,2.37,21700,Petrol,Individual,Manual,0,10,Mid-Age,1.02,43.0379746835443,2170.0,1,1,0,0,0,First,Low
Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,1,11,Mid-Age,2.1,60.86956521739131,1500.0,1,0,0,0,0,Second,Low
Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0,12,Mid-Age,0.25,16.666666666666664,1250.0,1,1,0,0,0,First,Low
Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0,9,Mid-Age,0.30000000000000004,20.000000000000004,2000.0,1,1,0,0,0,First,Low
Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,0,8,Mid-Age,0.27,18.367346938775512,1375.0,1,1,0,0,0,First,Low
KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual,0,9,Mid-Age,0.5800000000000001,32.58426966292135,666.6666666666666,1,1,0,0,0,First,Low
Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0,9,Mid-Age,0.3500000000000001,23.33333333333334,966.6666666666666,1,1,0,0,0,First,Low
KTM 390 Duke ,2014,1.15,2.4,7000,Petrol,Individual,Manual,0,11,Mid-Age,1.25,52.083333333333336,636.3636363636364,1,1,0,0,0,First,Low
Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,0,9,Mid-Age,0.25,17.857142857142858,3888.8888888888887,1,1,0,0,0,First,Low
Royal Enfield Classic 350,2015,1.15,1.47,17000,Petrol,Individual,Manual,0,10,Mid-Age,0.32000000000000006,21.768707482993204,1700.0,1,1,0,0,0,First,Low
Royal Enfield Classic 350,2015,1.11,1.47,17500,Petrol,Individual,Manual,0,10,Mid-Age,0.3599999999999999,24.48979591836734,1750.0,1,1,0,0,0,First,Low
Royal Enfield Classic 350,2013,1.1,1.47,33000,Petrol,Individual,Manual,0,12,Mid-Age,0.3699999999999999,25.170068027210878,2750.0,1,1,0,0,0,First,Low
Royal Enfield Thunder 500,2015,1.1,1.9,14000,Petrol,Individual,Manual,0,10,Mid-Age,0.7999999999999998,42.105263157894726,1400.0,1,1,0,0,0,First,Low
Royal Enfield Classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,0,10,Mid-Age,0.3699999999999999,25.170068027210878,2600.0,1,1,0,0,0,First,Low
Royal Enfield Thunder 500,2013,1.05,1.9,5400,Petrol,Individual,Manual,0,12,Mid-Age,0.8499999999999999,44.73684210526315,450.0,1,1,0,0,0,First,Low
Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual,0,9,Mid-Age,0.20999999999999996,16.666666666666664,633.3333333333334,1,1,0,0,0,First,Low
Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0,14,Mid-Age,0.44999999999999996,30.0,492.85714285714283,1,1,0,0,0,First,Low
